id;url;precio;expensas;area_m2;dormitorios;antiguedad;puntaje_arg_prop;imagen_path;image_url;lat;lon;valido_desde;valido_hasta;geometry;index_right;nombre;comuna;ambientes;precio_m2;superficie_por_ambientes;tipo_inmueble_departamento;tipo_inmueble_ph
17686087;https://www.argenprop.com/departamento-en-venta-en-retiro-1-ambiente--17686087;76900.0;180000.0;23.0;0;40.0;1;images/17686087.jpg;https://proxy.sosiva451.com/proxy/F8791C649D31560510817AD1C5A7361342BC3303296E5D995DF23500B514EFB5D4ECFB1C0D99D60F6F86EE6E4EDC59E97943A2B1635812597E0E9F2A82ED5CB1959C7A6AA93F0662FC87F9E0A8295D87BF68CF1C06C9435E1364B3DE2EB4C09E;-3.458.811;-5.838.368;2026-01-17 23:35:37.674361;;POINT (-6499241.52823743 -4108046.8662862396);28.0;Retiro;1.0;1;3.343.478.260.869.560;23.0;True;False
18622660;https://www.argenprop.com/departamento-en-venta-en-saavedra-3-ambientes--18622660;185000.0;320000.0;60.0;2 dorm.;10.0;2500;images/18622660.jpg;https://www.argenprop.com/static-content/06622681/e5b9cb31-3567-49db-9f3d-4275c8c5cad7_u_small.jpg;-34.553.726;-58.473.938;2026-01-19 01:57:37.657896;;POINT (-6509289.002837449 -4103398.462522239);29.0;Saavedra;12.0;3;30.833.333.333.333.300;20.0;True;False
18854212;https://www.argenprop.com/ph-en-venta-en-villa-del-parque-3-ambientes--18854212;129500.0;0.0;70.0;2 dorm.;27.15;3300;images/18854212.jpg;https://www.argenprop.com/static-content/21245881/c0b7b5de-e709-4b99-9266-8a2c25c65ad1_u_small.jpg;-346.067;-5.848.924;2026-01-19 01:57:25.635235;;POINT (-6510992.413685568 -4110560.8661248945);36.0;Villa Del Parque;11.0;3;1850.0;23.333.333.333.333.300;False;True
8096394;https://www.argenprop.com/ph-en-venta-en-villa-del-parque-5-ambientes--8096394;300000.0;0.0;120.0;4 dorm.;10.0;8;images/8096394.jpg;https://proxy.sosiva451.com/proxy/9879EBCF400F4749107A3F911220FC216D6A5B50741A677AB452FA987D82D9FF4DF20F2AA81877DD1AD294E2127C7F83D3078BE4CE520637A0CA0C4E8BBB33FF0FF61396D8F016CF407EDABB02B5CAAA426E06F46B1046CFE239CEED219E1D74;-3.460.149;-5.850.083;2026-01-17 23:35:33.579233;;POINT (-6512282.606583863 -4109856.240296226);36.0;Villa Del Parque;11.0;5;2500.0;24.0;False;True
17821604;https://www.argenprop.com/departamento-en-venta-en-villa-del-parque-1-ambiente--17821604;46200.0;0.0;16.0;1 dorm.;27.15;1;images/17821604.jpg;https://www.argenprop.com/static-content/40612871/db950ff8-a034-4fa9-a207-277c89d29a36_u_small.jpg;-34.604.866;-58.490.555;2026-01-19 22:21:11.843410;;POINT (-6511138.798815962 -4110312.8219716586);36.0;Villa Del Parque;11.0;2;2887.5;8.0;True;False
16384088;https://www.argenprop.com/departamento-en-venta-en-villa-del-parque-2-ambientes--16384088;49000.0;62000.0;32.0;1 dorm.;35.0;1;images/16384088.jpg;https://www.argenprop.com/static-content/88048361/4debb5cc-b4b0-4960-bc4d-fac40b186077_u_small.jpg;-34.604.263;-5.850.199;2026-01-19 22:21:36.314946;;POINT (-6512411.737193183 -4110231.268847541);36.0;Villa Del Parque;11.0;2;1531.25;16.0;True;False
17278224;https://www.argenprop.com/departamento-en-venta-en-villa-del-parque-1-ambiente--17278224;52000.0;60000.0;28.0;0;27.15;1099;images/17278224.jpg;https://www.argenprop.com/static-content/42287271/c7e32a95-2d8a-498b-bbd3-360c54b0f7c1_u_small.jpg;-3.460.631;-5.849.323;2026-01-19 01:58:44.449081;;POINT (-6511436.578453833 -4110508.1190906023);36.0;Villa Del Parque;11.0;1;1.857.142.857.142.850;28.0;True;False
18598162;https://www.argenprop.com/departamento-en-venta-en-villa-devoto-2-ambientes--18598162;115000.0;40000.0;43.0;1 dorm.;15.0;3500;images/18598162.jpg;https://www.argenprop.com/static-content/26189581/c4c95e59-bb93-467b-8088-1d9eab895d2c_u_small.jpg;-3.460.581;-5.850.337;2026-01-19 01:57:23.623736;;POINT (-6512565.358090476 -4110440.495050073);37.0;Villa Devoto;11.0;2;26.744.186.046.511.600;21.5;True;False
17710277;https://www.argenprop.com/ph-en-venta-en-villa-devoto-2-ambientes--17710277;119900.0;0.0;40.0;1 dorm.;3.142.105.263.157.890;1;images/17710277.jpg;https://proxy.sosiva451.com/proxy/9ED374ECF40A7011775EFF8D295F8D5F7518BE21267959E794F16A42DED30D2BD0112F42BCC45A8D848A65C67BC873F6E3EE17AE4B4512F9FB37EF20CCCAD8D98EDB63293742BC3BB3305BCB087943A7D1005489D4F5EB8FB9BFA9DA9F027688;-3.461.163;-5.851.991;2026-01-17 23:35:37.690132;;POINT (-6514406.582468198 -4111227.664099703);37.0;Villa Devoto;11.0;2;2997.5;20.0;False;True
18541596;https://www.argenprop.com/ph-en-venta-en-villa-devoto-4-ambientes--18541596;155000.0;0.0;80.0;3 dorm.;35.0;1105;images/18541596.jpg;https://www.argenprop.com/static-content/69514581/13a3c2ab-b8ab-4544-a422-e4cd2f33033e_u_small.jpg;-3.461.666;-5.851.483;2026-01-19 01:58:39.727277;;POINT (-6513841.079454968 -4111908.028199784);37.0;Villa Devoto;11.0;4;1937.5;20.0;False;True
