idx,id,url,precio,moneda,expensas,tipo_unidad,area_m2_cubierta,area_m2_descubierta,area_m2_total,antiguedad,estado_edificio,ambientes,banos,estado,disposicion,orientacion,latitud,longitud,image_url,imagen_path,valido_desde,valido_hasta,cocheras
573,18745630.0,https://www.argenprop.com/departamento-en-venta-en-belgrano-1-ambiente--18745630,90000.0,USD,87000.0,Departamento,33.0,4.0,37.0,,,1.0,1.0,Excelente,Frente,E,-34.56245,-58.4681,https://proxy.sosiva451.com/proxy/9EFFA6574C58FE4A945D4C9AECBBAC7BDF29FCC8E45AD4061893069C18FF146FA7F3CF48B6F665A203A22935F134186DAB3BDBD59AB933BA727065C86CEF0C875CAC399A323AAED6CBA59EA8BD93EC971D67FF9194115BF5476A933BAC596734,images/18745630.jpg,,,b''
574,15892617.0,https://www.argenprop.com/departamento-en-venta-en-lomas-de-nunez-3-ambientes--15892617,227793.0,USD,,Piso,72.0,9.0,81.0,,,3.0,2.0,Excelente,Frente,E,-34.551,-58.46536,https://proxy.sosiva451.com/proxy/CF9E28476C0AE3875FA678CB56D9FDAB30408C6360C5B84B788454F291F98E8C504239755E38AEDCD6B630D94707B5857FD7E5E50062CF2441339FDCE6B8DCF57BAE0F9876936114B1E69D7137D1F57CE58039F2E556DD1546A9AF25C8474D52,images/15892617.jpg,,,b''
575,18112300.0,https://www.argenprop.com/departamento-en-venta-en-belgrano-1-ambiente--18112300,118750.0,USD,191272.0,Departamento,32.0,24.0,56.0,,,1.0,1.0,Excelente,Contrafrente,,-34.56541,-58.45942,https://proxy.sosiva451.com/proxy/87C034898102D9DEDFB5D25B031E0EA1D76C207B711AE7D85396172948B133F0972A471015EC2E677279596E08BB4D15536BD69FF170655B78BE7FFDF7101EFF0B91312A70977EB78BC06EED8B5B304C4FA065380D8BFFD11F953FCF271590AA,images/18112300.jpg,,,b''
576,15452593.0,https://www.argenprop.com/departamento-en-venta-en-palermo-2-ambientes--15452593,177215.0,USD,,Departamento,51.0,5.0,56.0,,,2.0,2.0,Excelente,Frente,N,-34.58716,-58.4127,https://proxy.sosiva451.com/proxy/60860A2837725FD276B2D2CC7A480FF2D25F54D5404F189F6E299331C233EFA2C297FC52314E8083288ED6493120E4DBE883E28BDDF69E9D0A094DA6910B125E4B8CB47D718BF10C23DA105FB22BAD828AE19E8F5C009164749AE19A784D280A,images/15452593.jpg,,,b''
577,18332717.0,https://www.argenprop.com/departamento-en-venta-en-villa-urquiza-2-ambientes--18332717,144612.0,USD,,Departamento,48.0,8.0,56.0,,,2.0,2.0,Excelente,Frente,N,-34.57619,-58.49572,https://proxy.sosiva451.com/proxy/618E7A9D234F1FD18853345DBE1D413C82C4BB8ACE5B8E882FC7C77FB958314816B4E3F674E76608CEE0529AADE46FA595D63FFA2454A10AB9E0D15B1C76453C9C55CB7D19414DC463685FA2D96F50E318FEF2A0A96F8DFBBB0EB39BADC8C311,images/18332717.jpg,,,b''
578,16043880.0,https://www.argenprop.com/departamento-en-venta-en-villa-urquiza-3-ambientes--16043880,313500.0,USD,,Departamento,66.0,26.0,92.0,,,3.0,1.0,Excelente,Frente,N,-34.57336,-58.48043,https://proxy.sosiva451.com/proxy/A3AD641FF3548D221A93EE9DD36349DAD7823A2D6FA435016EE232E95FE6EA2CF270EA111F21C4E436524B3C0CE49C7EA7D7930B190BBD27E90E845749B1E2572B274D86A6B96EF15496AE1152B26E3015989C5BA960566D18D2EFB1D95AB4ED,images/16043880.jpg,,,b''
579,18112295.0,https://www.argenprop.com/departamento-en-venta-en-belgrano-1-ambiente--18112295,114000.0,USD,155409.0,Departamento,26.0,13.0,39.0,,,1.0,1.0,Excelente,Frente,,-34.56541,-58.45942,https://proxy.sosiva451.com/proxy/C37930BAE2D714E2E440DC478AC39C28CB73124474F6346A514BF6BC7A899317E1DFF119C50C7815CE132F483580B3E238AFB320CBB98433A21951A160C35C120F8878CD34FC13284F50F3339B63D5D69A87756D40B8F61203D1C0584D64A97C,images/18112295.jpg,,,b''
580,16043943.0,https://www.argenprop.com/departamento-en-venta-en-villa-urquiza-3-ambientes--16043943,429000.0,USD,,Duplex,91.0,48.0,139.0,,,3.0,2.0,Excelente,Frente,,-34.57336,-58.48043,https://proxy.sosiva451.com/proxy/CB8B60359632AA7EC2E977812689473023962813D3B1A7DFD8775CA757272A2D09203E8BA96ECEA4E46D048871ED19A6124F5EA76B7428FEB606DA39FD89A6C5BEB8BC679782ECB70EA57971941726B72CEC6B7863778918A975F66E32EB4EB0,images/16043943.jpg,,,b''
581,13189269.0,https://www.argenprop.com/departamento-en-venta-en-villa-urquiza-2-ambientes--13189269,165000.0,USD,164250.0,Departamento,42.0,,52.0,,,2.0,1.0,Excelente,Contrafrente,,-34.57766,-58.48981,https://proxy.sosiva451.com/proxy/38616B684EB884E79A55818C6108C2A5AB2AC3F801CD2A6864C18652C6B5B7B2B469D17551DBDF94D480FC8CE6B9F0C5E848D878CB3457AC2CB765228F4A6A43FA4F78630DA20FD967527F886B7291DE6CF9BC5DB53E30621D9689C556BD1767,images/13189269.jpg,,,b''
582,16275532.0,https://www.argenprop.com/departamento-en-venta-en-palermo-3-ambientes--16275532,582300.0,USD,,Departamento,83.0,18.0,101.0,,,3.0,3.0,Excelente,Frente,N,-34.57971,-58.41367,https://proxy.sosiva451.com/proxy/95B251A05A9AA1B2EDC622FAE80A20E3D02CCBC8C481B5B38830DFEEE6104379AEB4AAA2EA602E9B7CE7777D3779891DE878F3B4DEED808FB10F7D7558ACDC41F02A3B51FE2CA373EB103F468436393FC28B84EB5ACC27DA1E719071AEED6786,images/16275532.jpg,,,b''
583,18592688.0,https://www.argenprop.com/departamento-en-venta-en-villa-urquiza-2-ambientes--18592688,139500.0,USD,,Departamento,48.0,8.0,56.0,,,2.0,2.0,Excelente,Contrafrente,S,-34.57619,-58.49572,https://proxy.sosiva451.com/proxy/9775D214E0C5AE9A3423AD826FF52588D432F81AA0A80CEF9A9D26660FAED1649A526316D36CD1A4804C2D12AF4325781BC8E8C2A8690F1DDA9B5A9ACCF3491D2ED3AD419F10E540DDE69C0A9B402B5BBE7942DDDDEC5BA0DEB2AE491803F8D5,images/18592688.jpg,,,b''
584,12111548.0,https://www.argenprop.com/departamento-en-venta-en-palermo-3-ambientes--12111548,193770.0,USD,,Departamento,61.0,4.0,65.0,,,3.0,1.0,Excelente,Contrafrente,,-34.57508,-58.43649,https://proxy.sosiva451.com/proxy/289F29F0CF9A0E568294FA19D7DD4E7D215A912A50E0F11460A96E9A76E8CE30D3223AA2EDE655F8AE948745A7B49F43A21EC6050665172E2E791DB99891C769E6D0F50F16116460189F122A8BE9E0EFDB15A450752E23901D48FD9791890F4D,images/12111548.jpg,,,b''
585,18332474.0,https://www.argenprop.com/departamento-en-venta-en-villa-urquiza-1-ambiente--18332474,81576.0,USD,,Departamento,26.0,8.0,34.0,,,1.0,1.0,Excelente,Frente,N,-34.57619,-58.49572,https://proxy.sosiva451.com/proxy/48B78B4E9AAE672AB94883403FB6FE6F66545E2924317C3095F159063ACE42D3632990EED43DE03C6C846C13793FB3283B28E0F50AB8E1907066AA4D2E1C5AA631C9F41F6E6C8454D10CF53C054A8948746FD06C4D11D994484B1A899EBA1496,images/18332474.jpg,,,b''
586,18677007.0,https://www.argenprop.com/departamento-en-venta-en-villa-urquiza-1-ambiente--18677007,81000.0,USD,,Departamento,22.0,8.0,26.0,,,1.0,1.0,Excelente,Frente,N,-34.57619,-58.49572,https://proxy.sosiva451.com/proxy/67A77436DA6A07130FC1B07C6907E880834B8A96BE8B997DF3570325B4BEB455882D0DC9E030ECA0932154D4E1034F2C3269A2CE65FC610D00228EA9F6A82D37715C3B83CC8928E726B2A982B26D1E9765CF54B34B454CC8E72BDAD03FF05D33,images/18677007.jpg,,,b''
587,18332951.0,https://www.argenprop.com/departamento-en-venta-en-villa-urquiza-2-ambientes--18332951,155310.0,USD,,Departamento,47.0,24.0,71.0,,,2.0,1.0,Excelente,Frente,N,-34.57619,-58.49572,https://proxy.sosiva451.com/proxy/D405AA29657350A64E9E84300512F8E1B8E27DBC38B868B36BC2063661EED9F9CB8FE8FFFFF0A836FE37C72CD5CD2F2FA9AD48E574E7A97D5158BE160B17FB60498C71AF3D79257C783710EF2F8299BD455B83A4D869D4D0CAC5B0F07F146D22,images/18332951.jpg,,,b''
