id,url,precio,expensas,area_m2,dormitorios,antiguedad,puntaje_arg_prop,imagen_path,image_url,lat,lon,valido_desde
18919645,https://www.argenprop.com/departamento-en-alquiler-en-recoleta-2-ambientes--18919645,"(nan, nan)",0.0,,1 dorm.,,0,images/18919645.jpg,https://www.argenprop.com/static-content/54691981/63667e5d-d1c0-4e73-a148-9a5f40b142d4_u_small.jpg,-34.597656,-58.4176,2026-01-26 19:23:51.555778
18447720,https://www.argenprop.com/departamento-en-alquiler-en-palermo--18447720,"(nan, nan)",0.0,,3 dorm.,,1,images/18447720.jpg,https://www.argenprop.com/static-content/02774481/fb46d0ce-7fda-4297-a356-e5f290c5db11_u_small.jpg,-34.586166,-58.408997,2026-01-26 19:23:51.555778
18919648,https://www.argenprop.com/departamento-en-alquiler-en-monserrat-1-ambiente--18919648,"(nan, nan)",0.0,,,,2,images/18919648.jpg,https://www.argenprop.com/static-content/84691981/a997efb3-44ce-4925-9be3-2f8507c81b8b_u_small.jpg,-34.61607,-58.39066,2026-01-26 19:23:51.555778
17577660,https://www.argenprop.com/departamento-en-alquiler-en-flores-2-ambientes--17577660,"(nan, nan)",0.0,,1 dorm.,,3,images/17577660.jpg,https://www.argenprop.com/static-content/06677571/94863cca-9433-4621-8585-98bdcd1a8f96_u_small.jpg,-34.64547,-58.45764,2026-01-26 19:23:51.555778
18919571,https://www.argenprop.com/departamento-en-alquiler-en-monte-castro-3-ambientes--18919571,"(nan, nan)",0.0,,2 dorm.,,10,images/18919571.jpg,https://www.argenprop.com/static-content/17591981/b2573f14-7843-4072-a002-ba5fffe607f1_u_small.jpg,-34.6193,-58.5051,2026-01-26 19:23:51.555778
18919681,https://www.argenprop.com/departamento-en-alquiler-en-nunez-3-ambientes--18919681,"(nan, nan)",0.0,,2 dorm.,,0,images/18919681.jpg,https://www.argenprop.com/static-content/18691981/d56b4b27-5fa8-421b-b323-f7d51a6dea50_u_small.jpg,-34.54169,-58.47341,2026-01-26 19:23:51.555778
18919680,https://www.argenprop.com/departamento-en-alquiler-en-chacarita-2-ambientes--18919680,"(nan, nan)",0.0,,1 dorm.,,0,images/18919680.jpg,https://www.argenprop.com/static-content/08691981/f786635f-d261-4a61-92f6-eaea5fda9d46_u_small.jpg,-34.590958,-58.445454,2026-01-26 19:23:51.563950
18535961,https://www.argenprop.com/departamento-en-alquiler-en-parque-chacabuco-2-ambientes--18535961,"(nan, nan)",0.0,,1 dorm.,,0,images/18535961.jpg,https://www.argenprop.com/static-content/16953581/04a50830-b3a7-4988-9523-012a1327d77c_u_small.jpg,-34.633762,-58.429344,2026-01-26 19:23:51.563950
18919785,https://www.argenprop.com/departamento-en-alquiler-en-balvanera-3-ambientes--18919785,"('$', 750000.0)",180000.0,52.0,2 dorm.,60.0,30,images/18919785.jpg,https://www.argenprop.com/static-content/58791981/ff721314-711b-430a-942a-0569a28982d4_u_small.jpg,-34.61436,-58.40262,2026-01-26 19:36:28.608872
18896372,https://www.argenprop.com/departamento-en-alquiler-en-palermo-2-ambientes--18896372,"('$', 750000.0)",140000.0,40.0,1 dorm.,50.0,0,images/18896372.jpg,https://www.argenprop.com/static-content/27369881/78422601-57fc-4d4e-b4e4-23913f7bb7dd_u_small.jpg,-34.593693,-58.415115,2026-01-26 19:36:28.608872
