idx,id,valido_desde,valido_hasta,url,precio,moneda,expensas,tipo_unidad,area_m2_cubierta,area_m2_descubierta,area_m2_total,antiguedad,estado_edificio,ambientes,banos,estado,disposicion,orientacion,cocheras,latitud,longitud,image_url,imagen_path,dormitorios,geometry,index_right,barrio,comuna,antiguedad_cat,estado_num,log_precio,tipo_valor_atipico
2264,18724633.0,2026-02-05 01:14:46.295797,,https://www.argenprop.com/departamento-en-alquiler-en-las-canitas-5-ambientes--18724633,2000000.0,ARS,500000.0,Departamento,158.0,12.0,170.0,40.0,,5.0,2.0,Muy Bueno,Frente,,0.0,-34.57351,-58.43114,https://www.argenprop.com/static-content/33642781/5d4819c2-92ca-49d1-8182-5dd466c96a63_u_small.jpg,images/18724633.jpg,,POINT (-6504524.751270479 -4106072.844369826),20.0,Palermo,14.0,40,4,14.508657738524219,ALTO
2296,18681302.0,2026-02-05 01:14:46.391731,,https://www.argenprop.com/departamento-en-alquiler-en-caballito-sur-2-ambientes--18681302,650000.0,ARS,137000.0,Departamento,50.0,3.0,53.0,45.0,,2.0,1.0,Muy Bueno,Frente,,0.0,-34.62733,-58.43732,https://www.argenprop.com/static-content/20318681/c0681fa2-332c-4fa0-b72d-d076f9baee48_u_small.jpg,images/18681302.jpg,,POINT (-6505212.705723582 -4113351.4022743036),7.0,Caballito,6.0,45,4,13.38472764187182,ALTO
2338,18627707.0,2026-02-05 01:14:46.534348,,https://www.argenprop.com/departamento-en-alquiler-en-san-cristobal-3-ambientes--18627707,790000.0,ARS,120000.0,Departamento,76.0,5.0,81.0,50.0,,3.0,1.0,Excelente,Contrafrente,SO,0.0,-34.62705,-58.3964,https://www.argenprop.com/static-content/70772681/1f93efb9-d4cf-499a-823a-96dfc740fd9c_u_small.jpg,images/18627707.jpg,,POINT (-6500657.51216032 -4113313.5231700325),30.0,San Cristobal,3.0,50,5,13.579788224443204,ALTO
2378,15557665.0,2026-02-05 01:14:46.677725,,https://www.argenprop.com/departamento-en-alquiler-en-almagro-2-ambientes--15557665,780000.0,ARS,0.0,Departamento,55.0,0.0,55.0,45.0,,2.0,1.0,Muy Bueno,Contrafrente,SE,0.0,-34.60873,-58.41753,https://www.argenprop.com/static-content/56675551/f97fd56a-a5d5-4309-9484-bd706c91eb69_u_small.jpg,images/15557665.jpg,,POINT (-6503009.693000782 -4110835.4252018454),1.0,Almagro,5.0,45,4,13.567049198665774,ALTO
2410,18799050.0,2026-02-05 01:14:46.804791,,https://www.argenprop.com/departamento-en-alquiler-en-villa-urquiza-1-ambiente--18799050,670000.0,ARS,130000.0,Departamento,37.0,5.0,42.0,3.0,,1.0,1.0,Excelente,Contrafrente,,1.0,-34.58401,-58.47472,https://www.argenprop.com/static-content/05099781/edfa0cf9-96e1-45a7-9a13-981ded53c0a6_u_small.jpg,images/18799050.jpg,,POINT (-6509376.05467925 -4107492.4826481193),23.0,Parque Chas,15.0,3,5,13.415032991367148,ALTO
2476,18725020.0,2026-02-05 01:14:47.062790,,https://www.argenprop.com/departamento-en-alquiler-en-belgrano-5-ambientes--18725020,2000000.0,ARS,500000.0,Departamento,158.0,12.0,170.0,40.0,,5.0,2.0,Muy Bueno,Frente,,0.0,-34.57351,-58.43114,https://www.argenprop.com/static-content/02052781/fc9c45d1-1ff6-4721-9e93-2f5f283bee99_u_small.jpg,images/18725020.jpg,,POINT (-6504524.751270479 -4106072.844369826),20.0,Palermo,14.0,40,4,14.508657738524219,ALTO
2489,18657747.0,2026-02-05 01:14:47.123092,,https://www.argenprop.com/departamento-en-alquiler-en-caballito-norte-3-ambientes--18657747,800000.0,ARS,130000.0,Departamento,53.0,0.0,53.0,45.0,,3.0,1.0,Bueno,Contrafrente,E,0.0,-34.61941,-58.452,https://www.argenprop.com/static-content/74775681/cbbb9fed-04d0-4c14-8511-eb8168d88b8c_u_small.jpg,images/18657747.jpg,,POINT (-6506846.8758484265 -4112280.0140765603),7.0,Caballito,6.0,45,3,13.592367006650065,ALTO
2521,18722825.0,2026-02-05 01:14:47.253744,,https://www.argenprop.com/departamento-en-alquiler-en-flores-3-ambientes--18722825,650000.0,ARS,200000.0,Departamento,72.0,3.0,75.0,60.0,,3.0,2.0,Excelente,Frente,E,0.0,-34.62532,-58.45613,https://www.argenprop.com/static-content/52822781/c5bf9d9b-472f-441e-a58d-bfc260b127d4_u_small.jpg,images/18722825.jpg,,POINT (-6507306.625345403 -4113079.4872534056),12.0,Flores,7.0,60,5,13.38472764187182,ALTO
2650,17711629.0,2026-02-05 01:14:47.707934,,https://www.argenprop.com/departamento-en-alquiler-en-puerto-madero-2-ambientes--17711629,2521423.0,USD,500000.0,Departamento,77.0,0.0,77.0,16.0,,2.0,2.0,Excelente,Frente,,1.0,-34.611977,-58.361195,https://www.argenprop.com/static-content/92611771/067d7385-5643-4bf5-af92-87d865a95884_u_small.jpg,images/17711629.jpg,,POINT (-6496738.5094869435 -4111274.598430451),26.0,Puerto Madero,1.0,16,5,14.740333982654096,ALTO
2732,17991203.0,2026-02-05 01:14:48.001915,,https://www.argenprop.com/departamento-en-alquiler-en-parque-chacabuco-2-ambientes--17991203,600000.0,ARS,173300.0,Departamento,48.0,0.0,48.0,40.0,,2.0,1.0,Excelente,Frente,,0.0,-34.63337,-58.44015,https://www.argenprop.com/static-content/30219971/3ff33934-58a4-4061-bff0-c197ccb7c3a5_u_small.jpg,images/17991203.jpg,,POINT (-6505527.739882526 -4114168.539789684),22.0,Parque Chacabuco,7.0,40,5,13.304684934198283,ALTO
2781,18950310.0,2026-02-05 01:14:48.193138,,https://www.argenprop.com/departamento-en-alquiler-en-recoleta-2-ambientes--18950310,580000.0,ARS,73000.0,Departamento,32.0,0.0,32.0,60.0,,2.0,1.0,Muy Bueno,Interno,,0.0,-34.59258,-58.39518,https://www.argenprop.com/static-content/01305981/b099f060-1e3e-4de7-9133-81201c29073d_u_small.jpg,images/18950310.jpg,,POINT (-6500521.702381553 -4108651.310837532),27.0,Recoleta,2.0,60,4,13.270783382522602,ALTO
3208,18790421.0,2026-02-05 01:14:49.964010,,https://www.argenprop.com/departamento-en-alquiler-en-nunez-3-ambientes--18790421,2000000.0,ARS,180300.0,Departamento,64.0,7.0,70.0,6.0,,3.0,2.0,Excelente,Contrafrente,,1.0,-34.54448,-58.46209,https://www.argenprop.com/static-content/12409781/9fbce4b7-084f-43db-954a-bb5ce96243ae_u_small.jpg,images/18790421.jpg,,POINT (-6507970.089510532 -4102148.8153150347),19.0,Nuñez,13.0,6,5,14.508657738524219,ALTO
3409,18633590.0,2026-02-05 01:14:50.810069,,https://www.argenprop.com/departamento-en-alquiler-en-velez-sarsfield-2-ambientes--18633590,750000.0,ARS,0.0,Departamento,42.0,14.0,56.0,20.0,,2.0,1.0,Excelente,Frente,,0.0,-34.62647,-58.50438,https://www.argenprop.com/static-content/09533681/e95bcb06-20d1-4b4b-b04a-f85566eb60e0_u_small.jpg,images/18633590.jpg,,POINT (-6512677.790776178 -4113235.059717825),33.0,Velez Sarsfield,10.0,20,5,13.527828485512494,ALTO
4177,18640024.0,2026-02-06 21:34:58.991207,,https://www.argenprop.com/departamento-en-alquiler-en-monte-castro-2-ambientes--18640024,750000.0,ARS,0.0,Departamento,42.0,14.0,56.0,20.0,,2.0,1.0,Excelente,Frente,,0.0,-34.62647,-58.50438,https://www.argenprop.com/static-content/42004681/2711d0eb-a493-4af4-9441-02b462f2cf86_u_small.jpg,images/18640024.jpg,1.0,POINT (-6512677.790776178 -4113235.059717825),33.0,Velez Sarsfield,10.0,20,5,13.527828485512494,ALTO
4232,18908551.0,2026-02-06 21:39:33.030060,,https://www.argenprop.com/departamento-en-alquiler-en-flores-norte-3-ambientes--18908551,820000.0,ARS,175000.0,Departamento,68.0,0.0,68.0,50.0,,3.0,2.0,Muy Bueno,,,0.0,-34.61574,-58.45973,https://www.argenprop.com/static-content/15580981/0cbdec32-fe86-4d48-92ef-96f5239b7766_u_small.jpg,images/18908551.jpg,2.0,POINT (-6507707.375512259 -4111783.584766791),12.0,Flores,7.0,50,4,13.617059619240436,ALTO
