id,url,precio,expensas,area_m2,dormitorios,antiguedad,puntaje_arg_prop,imagen_path,image_url,lat,lon,valido_desde,valido_hasta,geometry,index_right,barrio,comuna,ambientes,moneda
18707210,https://www.argenprop.com/departamento-en-alquiler-en-san-telmo-2-ambientes--18707210,550000.0,100000.0,40.0,1 dorm.,45.0,331.0,images/18707210.jpg,https://www.argenprop.com/static-content/01270781/56524c9e-8621-456f-a1ee-42161da748c5_u_small.jpg,-34.62386,-58.36831,2026-01-27 19:05:20.636338,,POINT (374566.5156272297 6167817.029564227),32.0,San Telmo,1.0,2,$
6235109,https://www.argenprop.com/departamento-en-alquiler-en-almagro-1-ambiente--6235109,370000.0,120000.0,25.0,0,55.0,315.0,images/6235109.jpg,https://www.argenprop.com/static-content/9015326/83456488-b868-48b3-bf27-e0ccdc6abf45_u_small.jpg,-34.61081,-58.41488,2026-01-27 19:05:20.636338,2026-02-01 20:14:32.473940,POINT (370276.81420243875 6169205.361924343),1.0,Almagro,5.0,1,$
7806103,https://www.argenprop.com/departamento-en-alquiler-en-floresta-2-ambientes--7806103,600000.0,140000.0,35.0,1 dorm.,50.0,306.0,images/7806103.jpg,https://www.argenprop.com/static-content/3016087/bd6bbac9-4dd1-4344-93ea-1f8856d582aa_u_small.jpg,-34.62833,-58.48825,2026-01-27 19:05:20.636338,,POINT (363578.04190082185 6167165.51883247),13.0,Floresta,10.0,2,$
18670448,https://www.argenprop.com/departamento-en-alquiler-en-floresta-2-ambientes--18670448,500000.0,70000.0,36.0,1 dorm.,23.9375,305.0,images/18670448.jpg,https://www.argenprop.com/static-content/84407681/b4692548-45dc-421a-bc0a-27db6346e0e3_u_small.jpg,-34.63509,-58.48653,2026-01-27 19:05:20.636338,,POINT (363746.77655113826 6166418.142453369),33.0,Velez Sarsfield,10.0,2,$
12058288,https://www.argenprop.com/departamento-en-alquiler-en-caballito-1-ambiente--12058288,420000.0,137000.0,33.0,0,10.0,300.0,images/12058288.jpg,https://www.argenprop.com/static-content/88285021/cbeb7504-e828-4f4f-8452-4d8a9a4cc66a_u_small.jpg,-34.60665,-58.44492,2026-01-27 19:05:20.636338,,POINT (367515.78242257144 6169627.6600824585),35.0,Villa Crespo,15.0,1,$
11184815,https://www.argenprop.com/departamento-en-alquiler-en-flores-2-ambientes--11184815,600000.0,147250.0,45.0,1 dorm.,50.0,300.0,images/11184815.jpg,https://www.argenprop.com/static-content/51848111/a4e592bc-75b3-4100-8796-fd00dc285a7c_u_small.jpg,-34.62443,-58.45887,2026-01-27 19:05:20.636338,2026-02-01 20:17:20.377176,POINT (366265.140499649 6167637.40842996),12.0,Flores,7.0,2,$
18584208,https://www.argenprop.com/departamento-en-alquiler-en-almagro-2-ambientes--18584208,600000.0,120000.0,37.0,1 dorm.,45.0,300.0,images/18584208.jpg,https://www.argenprop.com/static-content/80248581/458fce31-5b3a-4760-9870-4f642225e180_u_small.jpg,-34.60211,-58.43041,2026-01-27 19:05:20.636338,,POINT (368839.1587408087 6170150.117035037),1.0,Almagro,5.0,2,$
5996453,https://www.argenprop.com/departamento-en-alquiler-en-almagro-2-ambientes--5996453,600000.0,164000.0,44.0,1 dorm.,60.0,300.0,images/5996453.jpg,https://www.argenprop.com/static-content/3546995/90dc2b82-8eb1-43dc-a620-d60822b92a68_u_small.jpg,-34.6027,-58.43007,2026-01-27 19:05:20.636338,2026-02-01 20:20:03.525476,POINT (368871.2648344296 6170085.127327153),1.0,Almagro,5.0,2,$
18783857,https://www.argenprop.com/departamento-en-alquiler-en-villa-del-parque-1-ambiente--18783857,480000.0,0.0,45.0,0,15.285714285714286,300.0,images/18783857.jpg,https://www.argenprop.com/static-content/75838781/15a4002a-1849-4168-acf6-27e781a25c13_u_small.jpg,-34.61957,-58.48572,2026-01-27 19:05:20.636338,,POINT (363795.6585679695 6168140.4473388875),45.0,Villa Santa Rita,11.0,1,$
6460942,https://www.argenprop.com/departamento-en-alquiler-en-microcentro-2-ambientes--6460942,380000.0,120000.0,35.0,1 dorm.,60.0,300.0,images/6460942.jpg,https://www.argenprop.com/static-content/2490646/1b1083ac-42ae-4576-b105-16c823c46ef0_u_small.jpg,-34.60133,-58.37754,2026-01-27 19:05:20.636338,2026-02-01 20:21:03.074657,POINT (373686.2106779654 6170304.097016577),31.0,San Nicolas,1.0,2,$
18725706,https://www.argenprop.com/departamento-en-alquiler-en-caballito-1-ambiente--18725706,630000.0,110000.0,25.0,0,0.0,268.0,images/18725706.jpg,https://www.argenprop.com/static-content/60752781/76c656cc-2fa2-4756-b929-f3b6b9a1832f_u_small.jpg,-34.60617,-58.44635,2026-01-27 19:05:20.636338,2026-02-01 20:23:03.532223,POINT (367383.8929048923 6169679.013473542),35.0,Villa Crespo,15.0,1,$
18714135,https://www.argenprop.com/departamento-en-alquiler-en-congreso-4-ambientes--18714135,800000.0,0.0,90.0,3 dorm.,33.39080459770115,262.0,images/18714135.jpg,https://www.argenprop.com/static-content/53141781/6b4aa5a3-3ae3-47bf-86ae-f567b56069e2_u_small.jpg,-34.60586,-58.39434,2026-01-27 19:05:20.636338,,POINT (372152.56766867917 6169780.550850918),2.0,Balvanera,3.0,4,$
5487289,https://www.argenprop.com/departamento-en-alquiler-en-boedo--5487289,450000.0,50000.0,25.0,1 dorm.,40.0,256.0,images/5487289.jpg,https://www.argenprop.com/static-content/9827845/11f8c734-6197-4a2b-96fa-57824a2a1c6a_u_small.jpg,-34.61552,-58.41692,2026-01-27 19:05:20.636338,2026-02-01 20:23:36.718149,POINT (370097.10239981196 6168680.390897408),1.0,Almagro,5.0,2,$
11947056,https://www.argenprop.com/departamento-en-alquiler-en-flores-2-ambientes--11947056,580000.0,95000.0,40.0,1 dorm.,45.0,250.0,images/11947056.jpg,https://www.argenprop.com/static-content/65074911/ddace604-0492-4e19-aacb-a652675b6c57_u_small.jpg,-34.6178,-58.46901,2026-01-27 19:05:20.636338,,POINT (365324.81941708724 6168359.191994335),12.0,Flores,7.0,2,$
15506331,https://www.argenprop.com/departamento-en-alquiler-en-congreso-2-ambientes--15506331,480000.0,106000.0,34.0,1 dorm.,48.0,250.0,images/15506331.jpg,https://www.argenprop.com/static-content/13360551/0f2dc086-98ad-4dbf-95d1-0bb300d1ae5d_u_small.jpg,-34.61848,-58.38951,2026-01-27 19:05:20.636338,,POINT (372614.7461800749 6168387.094837055),11.0,Constitucion,1.0,2,$
18775813,https://www.argenprop.com/departamento-en-alquiler-en-floresta-2-ambientes--18775813,600000.0,44840.0,40.0,1 dorm.,23.9375,250.0,images/18775813.jpg,https://www.argenprop.com/static-content/31857781/ebc969b8-c2c4-4c2f-88c1-3f4272405b92_u_small.jpg,-34.63935,-58.4866,2026-01-27 19:05:20.636338,,POINT (363747.32876702165 6165945.601479595),33.0,Velez Sarsfield,10.0,2,$
18799437,https://www.argenprop.com/departamento-en-alquiler-en-villa-urquiza-3-ambientes--18799437,700000.0,160000.0,60.0,2 dorm.,30.0,250.0,images/18799437.jpg,https://www.argenprop.com/static-content/73499781/5ae12c99-f5c4-42c9-9b71-476819f36dbe_u_small.jpg,-34.57954,-58.46989,2026-01-27 19:05:20.636338,2026-02-01 20:26:06.570382,POINT (365182.3129359245 6172601.124472129),41.0,Villa Ortuzar,15.0,3,$
5047092,https://www.argenprop.com/departamento-en-alquiler-en-flores-3-ambientes--5047092,700000.0,180000.0,77.0,2 dorm.,35.0,222.0,images/5047092.jpg,https://www.argenprop.com/static-content/2907405/8669b1f8-510c-427f-b27b-4dcf60f9a29b_u_small.jpg,-34.62593,-58.45733,2026-01-27 19:05:20.636338,,POINT (366408.7281738031 6167473.097094024),12.0,Flores,7.0,3,$
17948438,https://www.argenprop.com/departamento-en-alquiler-en-caballito-2-ambientes--17948438,450000.0,80000.0,36.0,1 dorm.,45.0,209.0,images/17948438.jpg,https://www.argenprop.com/static-content/83484971/13575fc5-e8c8-4da7-8806-9033c5d946e7_u_small.jpg,-34.6158,-58.43652,2026-01-27 19:05:20.636338,2026-02-01 20:28:38.642942,POINT (368300.4875811825 6168623.9130274765),7.0,Caballito,6.0,2,$
