id;url;precio;expensas;area_m2;ambientes;antiguedad;barrio;comuna;moneda
18753294;https://www.argenprop.com/departamento-en-alquiler-en-barrio-norte-1-ambiente--18753294;500000;102000;1;31.0;40.0;Recoleta;2.0;$
18366990;https://www.argenprop.com/departamento-en-alquiler-en-congreso-1-ambiente--18366990;320000;146000;1;20.0;60.0;San Nicolas;1.0;$
18137319;https://www.argenprop.com/departamento-en-alquiler-en-monserrat-1-ambiente--18137319;350000;68000;2;27.0;45.0;San Nicolas;1.0;$
18669542;https://www.argenprop.com/departamento-en-alquiler-en-congreso--18669542;350000;100000;1;20.0;50.0;San Nicolas;1.0;$
6185295;https://www.argenprop.com/departamento-en-alquiler-en-microcentro-1-ambiente--6185295;380000;90000;1;30.0;60.0;San Nicolas;1.0;$
18691644;https://www.argenprop.com/departamento-en-alquiler-en-villa-luro-2-ambientes--18691644;620000;45000;2;39.0;25.0;Velez Sarsfield;10.0;$
18686424;https://www.argenprop.com/departamento-en-alquiler-en-villa-crespo-1-ambiente--18686424;380000;85000;1;25.0;18.842.105.263.157.800;Villa Crespo;15.0;$
18789393;https://www.argenprop.com/departamento-en-alquiler-en-villa-crespo-2-ambientes--18789393;400000;190000;2;42.0;45.0;Villa Crespo;15.0;$
18938142;https://www.argenprop.com/departamento-en-alquiler-en-villa-crespo-1-ambiente--18938142;470000;170000;2;31.0;21.0;Villa Crespo;15.0;$
18658532;https://www.argenprop.com/departamento-en-alquiler-en-villa-del-parque-2-ambientes--18658532;650000;140000;2;43.0;50.0;Villa Del Parque;11.0;$
18697590;https://www.argenprop.com/departamento-en-alquiler-en-villa-devoto-1-ambiente--18697590;350000;130000;1;27.0;10.0;Villa Devoto;11.0;$
12719601;https://www.argenprop.com/departamento-en-alquiler-en-paternal-1-ambiente--12719601;350000;50000;1;25.0;16.25;Villa Gral. Mitre;11.0;$
18684284;https://www.argenprop.com/departamento-en-alquiler-en-villa-luro--18684284;350000;70000;1;20.0;45.0;Villa Luro;10.0;$
18770695;https://www.argenprop.com/departamento-en-alquiler-en-villa-general-mitre-1-ambiente--18770695;600000;210000;2;35.0;5.0;Villa Santa Rita;11.0;$
11331946;https://www.argenprop.com/departamento-en-alquiler-en-villa-urquiza-2-ambientes--11331946;700000;100000;2;38.0;5.0;Villa Urquiza;12.0;$
