id,url,precio,expensas,area_m2,dormitorios,antiguedad,puntaje_arg_prop,imagen_path,image_url,lat,lon
18630780,https://www.argenprop.com/departamento-en-alquiler-en-palermo-2-ambientes--18630780,$ 950.000 + $230.000 expensas,$230.000 expensas,60 m² cubie.,1 dorm.,50 años,2722,images/18630780.jpg,https://www.argenprop.com/static-content/08703681/bb1b44af-bd8b-44b2-8568-d3b00b9d2cf3_u_small.jpg,-34.58067,-58.42579
18536002,https://www.argenprop.com/departamento-en-alquiler-en-villa-crespo-2-ambientes--18536002,$ 600.000 + $140.000 expensas,$140.000 expensas,46 m² cubie.,1 dorm.,32 años,2710,images/18536002.jpg,https://www.argenprop.com/static-content/20063581/c77b509d-df7f-4740-b9d0-12682fa4490a_u_small.jpg,-34.60574,-58.44033
18329926,https://www.argenprop.com/departamento-en-alquiler-en-villa-crespo-2-ambientes--18329926,$ 650.000 + $140.000 expensas,$140.000 expensas,44 m² cubie.,1 dorm.,18 años,2701,images/18329926.jpg,https://www.argenprop.com/static-content/62992381/93b7b5a1-d995-415c-aac4-69d7cbf70fdb_u_small.jpg,-34.59358,-58.44435
18655474,https://www.argenprop.com/departamento-en-alquiler-en-belgrano-2-ambientes--18655474,$ 580.000 + $170.000 expensas,$170.000 expensas,39,1 dorm.,,2700,images/18655474.jpg,https://www.argenprop.com/static-content/47455681/e070259f-d0f0-4c08-a270-4ed5e5ee2e53_u_small.jpg,-34.55946,-58.45233
17755546,https://www.argenprop.com/departamento-en-alquiler-en-recoleta-2-ambientes--17755546,$ 800.000,,48 m² cubie.,1 dorm.,,2668,images/17755546.jpg,https://www.argenprop.com/static-content/64555771/2434f62e-086d-4e52-aad4-51fe64a0d304_u_small.jpg,-34.59539,-58.39548
18596753,https://www.argenprop.com/departamento-en-alquiler-en-caballito-2-ambientes--18596753,$ 550.000 + $60.000 expensas,$60.000 expensas,32 m² cubie.,1 dorm.,40 años,2665,images/18596753.jpg,https://www.argenprop.com/static-content/35769581/d147dc64-9786-4d91-84e9-c3b418e18db3_u_small.jpg,-34.606907,-58.44361
18619208,https://www.argenprop.com/departamento-en-alquiler-en-barrio-norte-3-ambientes--18619208,$ 1.300.000 + $430.000 expensas,$430.000 expensas,80 m² cubie.,2 dorm.,45 años,2622,images/18619208.jpg,https://www.argenprop.com/static-content/80291681/07e2f93d-85c3-4a49-b118-d4f8d1ada3b5_u_small.jpg,-34.59583,-58.40003
18745685,https://www.argenprop.com/departamento-en-alquiler-en-belgrano-r-4-ambientes--18745685,USD 2.500 + $600.000 expensas,$600.000 expensas,147 m² cubie.,3 dorm.,60 años,2599,images/18745685.jpg,https://www.argenprop.com/static-content/58654781/8ffc396a-5600-46ec-a3f2-93d87b6180af_u_small.jpg,-34.57466,-58.46387
18740490,https://www.argenprop.com/departamento-en-alquiler-en-belgrano-2-ambientes--18740490,$ 650.000 + $170.000 expensas,$170.000 expensas,40,1 dorm.,10 años,2522,images/18740490.jpg,https://www.argenprop.com/static-content/09404781/cc4c7bd2-b1ed-4d88-956b-5595571d409b_u_small.jpg,-34.55917,-58.4649
18632928,https://www.argenprop.com/departamento-en-alquiler-en-recoleta-3-ambientes--18632928,$ 850.000 + $285.000 expensas,$285.000 expensas,69 m² cubie.,2 dorm.,40 años,2521,images/18632928.jpg,https://www.argenprop.com/static-content/82923681/8876b539-c95a-41cf-9fbc-6a837a376784_u_small.jpg,-34.591465,-58.40114
18347132,https://www.argenprop.com/departamento-en-alquiler-en-caballito-1-ambiente--18347132,$ 500.000 + $75.000 expensas,$75.000 expensas,35 m² cubie.,,60 años,2502,images/18347132.jpg,https://www.argenprop.com/static-content/23174381/53c7a0d1-8c5a-4dd3-b9cb-f7cfecc3931c_u_small.jpg,,
18093584,https://www.argenprop.com/departamento-en-alquiler-en-caballito-norte-1-ambiente--18093584,$ 500.000 + $145.000 expensas,$145.000 expensas,25 m² cubie.,,15 años,2501,images/18093584.jpg,https://www.argenprop.com/static-content/48539081/57d93cec-420a-46e5-b5e0-d99dce37a7dd_u_small.jpg,-34.60924,-58.42886
18420801,https://www.argenprop.com/departamento-en-alquiler-en-palermo-4-ambientes--18420801,$ 1.800.000 + $394.000 expensas,$394.000 expensas,95 m² cubie.,3 dorm.,50 años,2500,images/18420801.jpg,https://www.argenprop.com/static-content/10802481/5c9b29a1-b75d-4024-b23b-de47bebb7dd4_u_small.jpg,-34.58452,-58.41553
12574817,https://www.argenprop.com/departamento-en-alquiler-en-recoleta-2-ambientes--12574817,$ 650.000 + $230.000 expensas,$230.000 expensas,40 m² cubie.,1 dorm.,40 años,2495,images/12574817.jpg,https://www.argenprop.com/static-content/71847521/8d2d2e80-0a79-4215-bb7e-eed756720436_u_small.jpg,-34.59465,-58.38447
18758791,https://www.argenprop.com/departamento-en-alquiler-en-floresta-2-ambientes--18758791,Consultar precio + $85.000 expensas,$85.000 expensas,,2 dorm.,,2463,images/18758791.jpg,https://www.argenprop.com/static-content/19785781/29c66f81-662b-4787-bb64-bbee26698cd0_u_small.jpg,-34.63205,-58.485
18449093,https://www.argenprop.com/departamento-en-alquiler-en-palermo-1-ambiente--18449093,$ 900.000 + $250.000 expensas,$250.000 expensas,33 m² cubie.,,10 años,2445,images/18449093.jpg,https://www.argenprop.com/static-content/39094481/bea9b5ac-babc-46a3-8e9d-8f747ac1e7c5_u_small.jpg,-34.57859,-58.42775
18745414,https://www.argenprop.com/departamento-en-alquiler-en-recoleta-3-ambientes--18745414,$ 1.200.000 + $190.000 expensas,$190.000 expensas,66 m² cubie.,2 dorm.,30 años,2406,images/18745414.jpg,https://www.argenprop.com/static-content/41454781/9e6986f4-169e-44da-b72c-cb78d5ce5ab4_u_small.jpg,-34.60367,-58.38212
11658954,https://www.argenprop.com/departamento-en-alquiler-en-barrio-norte-1-ambiente--11658954,$ 400.000 + $144.000 expensas,$144.000 expensas,33 m² cubie.,,60 años,2400,images/11658954.jpg,https://www.argenprop.com/static-content/45985611/6753c49e-54f2-49ca-9db9-e5eac28a2cdc_u_small.jpg,-34.59131,-58.40441
18713141,https://www.argenprop.com/departamento-en-alquiler-en-barrio-norte-1-ambiente--18713141,$ 700.000,,18 m² cubie.,,45 años,2333,images/18713141.jpg,https://www.argenprop.com/static-content/14131781/f1489283-b0f1-487b-b147-3ad021071e86_u_small.jpg,-34.600513,-58.379704
17933979,https://www.argenprop.com/departamento-en-alquiler-en-villa-urquiza-4-ambientes--17933979,$ 3.100.000 + $700.000 expensas,$700.000 expensas,220 m² cubie.,3 dorm.,3 baños,2300,images/17933979.jpg,https://www.argenprop.com/static-content/97933971/6fb61bf9-eefd-4c4e-b009-09586c715ff7_u_small.jpg,-34.57784,-58.48805
18797175,https://www.argenprop.com/departamento-en-alquiler-en-belgrano-2-ambientes--18797175,$ 1.200.000 + $259.000 expensas,$259.000 expensas,49 m² cubie.,1 dorm.,8 años,2256,images/18797175.jpg,https://www.argenprop.com/static-content/57179781/98734d77-6e73-44e9-8dbf-cb6c9376244f_u_small.jpg,-34.56064,-58.46364
18773142,https://www.argenprop.com/departamento-en-alquiler-en-recoleta-1-ambiente--18773142,$ 500.000 + $90.000 expensas,$90.000 expensas,20 m² cubie.,,,2254,images/18773142.jpg,https://www.argenprop.com/static-content/24137781/21455303-21ad-4403-9dc7-c060763d1819_u_small.jpg,-34.58883,-58.4036
18500610,https://www.argenprop.com/departamento-en-alquiler-en-barrio-norte-1-ambiente--18500610,$ 500.000 + $159.408 expensas,$159.408 expensas,31 m² cubie.,,40 años,2232,images/18500610.jpg,https://www.argenprop.com/static-content/01600581/31fdbfc2-508d-4b1e-a5ac-36fe16b23131_u_small.jpg,-34.59307,-58.40159
18510818,https://www.argenprop.com/departamento-en-alquiler-en-almagro-1-ambiente--18510818,$ 500.000 + $150.000 expensas,$150.000 expensas,33 m² cubie.,,15 años,2230,images/18510818.jpg,https://www.argenprop.com/static-content/81801581/60a2de02-9245-43d9-bb36-f063ac252ade_u_small.jpg,-34.613037,-58.419346
